8.239194367495735749e-01,6.628918846010648513e-01,8.746940066638080324e-01,8.509371918949756308e-01
8.089196431399615639e-01,6.565089348108216205e-01,8.656327674242433323e-01,8.244938349997129601e-01
7.842257512519875684e-01,6.697367493242448733e-01,8.459884278730238627e-01,8.351890823845301570e-01
8.154934327088114721e-01,6.546979006656425959e-01,8.698148916885600768e-01,8.296757749085349465e-01
7.081528030623882586e-01,6.896308108009979732e-01,8.468421577748562745e-01,8.355594571904999546e-01
7.670197783738648134e-01,6.645013030087657535e-01,8.642984991453411814e-01,8.428983984981694988e-01
6.835385505367713721e-01,6.549213213109918996e-01,8.569462697733131185e-01,8.364232519445323755e-01
8.166983714670394967e-01,6.572601001503991514e-01,8.821493458702068802e-01,8.221454045776748210e-01
7.953552357468972600e-01,6.559713913627560622e-01,8.701633353978109886e-01,8.448836254963366654e-01
7.914640319908277100e-01,6.496531627576404011e-01,8.410566460694012259e-01,8.319676526291944763e-01
